id_entidad,estado,id_mpio,mpio_mty,id_localidad,localidad,id_ageb,folio_ageb,pop_total,viviendas_hab,pop_15_edu_incomp,pop_15_24_no_educ,pop_no_salud,pop_hacinamiento,viviendas_no_excusado,viviendas_piso_tierra,viviendas_no_agua,viviendas_no_drenaje,viviendas_no_ee,rezago_social
19,Nuevo León,39,Monterrey,1,MONTERREY,4286,1.9039E+12,749,164,0.274,0.652,0.324,6.707,0.000,3.049,0.610,0.610,0.610,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4290,1.9039E+12,937,222,0.358,0.733,0.267,5.000,0.000,0.901,2.703,0.000,0.450,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4303,1.9039E+12,2301,542,0.323,0.620,0.327,5.926,0.185,2.399,0.369,0.738,0.554,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4318,1.9039E+12,2311,546,0.139,0.434,0.215,0.183,0.366,1.282,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4322,1.9039E+12,2415,560,0.154,0.537,0.231,0.717,0.000,1.071,0.179,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4341,1.9039E+12,382,83,0.672,0.708,0.359,25.301,2.410,15.663,95.181,24.096,1.205,Medio
19,Nuevo León,39,Monterrey,1,MONTERREY,4356,1.9039E+12,251,59,0.023,0.196,0.112,0.000,3.390,1.695,1.695,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4375,1.9039E+12,1191,291,0.143,0.461,0.223,0.000,1.375,0.687,0.000,0.687,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4394,1.9039E+12,1113,279,0.144,0.494,0.170,0.360,0.000,2.509,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4407,1.9039E+12,4586,1078,0.186,0.497,0.180,0.468,0.649,1.855,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4411,1.9039E+12,3766,946,0.131,0.467,0.174,0.211,0.317,1.374,0.000,0.211,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4426,1.9039E+12,1081,244,0.339,0.721,0.310,2.869,0.410,0.410,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4430,1.9039E+12,4920,1313,0.072,0.424,0.105,0.076,0.762,1.066,0.152,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4464,1.9039E+12,4903,1044,0.425,0.758,0.374,4.734,0.862,2.299,0.287,0.192,0.096,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4479,1.9039E+12,3892,853,0.429,0.774,0.415,5.332,0.821,1.993,0.586,0.586,0.117,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4483,1.9039E+12,2372,552,0.251,0.536,0.248,4.174,0.362,1.268,0.362,0.181,0.362,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4498,1.9039E+12,852,195,0.190,0.445,0.291,3.590,0.000,0.513,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4500,1.9039E+12,2999,649,0.630,0.783,0.344,14.884,2.003,5.547,0.924,0.154,0.616,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4515,1.9039E+12,3707,969,0.266,0.508,0.186,2.413,2.270,1.445,0.516,0.310,0.103,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4534,1.9039E+12,1633,395,0.397,0.637,0.263,7.592,2.785,1.013,0.506,0.000,0.253,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4549,1.9039E+12,4644,1126,0.283,0.595,0.258,4.430,1.599,0.977,0.089,0.444,0.089,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4553,1.9039E+12,4235,960,0.388,0.652,0.307,7.725,1.354,0.833,0.208,0.729,0.208,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4568,1.9039E+12,483,114,0.035,0.224,0.077,0.000,6.140,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4572,1.9039E+12,1832,580,0.249,0.514,0.211,1.613,0.517,1.724,0.000,0.000,0.172,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4587,1.9039E+12,1497,475,0.259,0.575,0.226,3.167,0.211,4.842,0.842,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4591,1.9039E+12,78,23,0.333,0.733,0.359,4.762,21.739,0.000,4.348,4.348,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4604,1.9039E+12,2243,609,0.103,0.347,0.143,1.246,7.718,0.328,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4619,1.9039E+12,2468,643,0.031,0.366,0.092,0.180,13.997,0.311,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4623,1.9039E+12,2141,563,0.240,0.527,0.203,2.124,7.460,0.533,0.000,0.178,0.178,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4638,1.9039E+12,4250,1060,0.507,0.736,0.313,11.350,4.528,3.019,1.509,0.660,0.189,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4642,1.9039E+12,2680,642,0.597,0.843,0.298,12.459,7.788,6.075,4.829,1.713,0.156,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4657,1.9039E+12,3452,809,0.460,0.771,0.265,10.065,6.551,1.978,0.742,0.742,0.124,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4661,1.9039E+12,2168,755,0.125,0.256,0.138,0.133,0.795,0.265,0.132,0.132,0.132,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4676,1.9039E+12,2037,651,0.065,0.300,0.174,0.000,0.307,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4680,1.9039E+12,2638,758,0.055,0.313,0.159,0.000,0.396,1.847,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4695,1.9039E+12,4025,900,0.389,0.798,0.352,5.469,0.667,3.111,0.667,0.444,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4708,1.9039E+12,4382,1008,0.427,0.796,0.339,5.677,0.595,3.770,0.397,0.198,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4712,1.9039E+12,3798,924,0.483,0.779,0.318,10.164,0.649,1.407,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4727,1.9039E+12,3537,862,0.453,0.780,0.282,10.268,0.580,2.088,0.232,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4731,1.9039E+12,3073,866,0.112,0.395,0.160,0.000,4.503,1.270,0.115,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4746,1.9039E+12,1286,315,0.140,0.527,0.163,0.000,1.270,0.952,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4750,1.9039E+12,4398,1125,0.173,0.612,0.160,2.046,0.000,0.267,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4765,1.9039E+12,466,113,0.048,0.206,0.148,0.000,6.195,0.885,0.885,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4784,1.9039E+12,3597,995,0.032,0.215,0.138,0.000,6.332,2.714,0.201,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4799,1.9039E+12,2648,721,0.045,0.286,0.110,0.000,5.270,1.664,0.139,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4801,1.9039E+12,2207,528,0.037,0.310,0.089,0.000,2.841,3.220,0.379,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4816,1.9039E+12,4128,1027,0.135,0.539,0.145,0.098,0.292,0.000,0.097,0.097,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4820,1.9039E+12,2853,755,0.084,0.515,0.149,0.265,0.000,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4835,1.9039E+12,7254,2022,0.094,0.483,0.145,0.199,0.692,1.137,0.148,0.049,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4854,1.9039E+12,2295,678,0.051,0.341,0.145,0.000,0.442,0.737,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4869,1.9039E+12,3131,775,0.038,0.359,0.086,0.000,6.710,0.516,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4873,1.9039E+12,2406,618,0.032,0.290,0.108,0.000,10.032,0.485,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4888,1.9039E+12,372,79,0.085,0.525,0.116,0.000,12.658,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4892,1.9039E+12,112,24,0.029,0.500,0.089,0.000,16.667,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4905,1.9039E+12,351,95,0.042,0.333,0.111,0.000,11.579,0.000,1.053,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4924,1.9039E+12,2288,600,0.031,0.261,0.081,0.000,0.333,3.333,0.167,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4939,1.9039E+12,2188,592,0.033,0.242,0.093,0.000,4.561,0.676,0.338,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4943,1.9039E+12,3585,856,0.493,0.782,0.295,13.380,1.402,10.981,3.621,1.869,0.117,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4958,1.9039E+12,4899,1152,0.452,0.803,0.311,16.010,2.431,10.938,11.372,2.344,0.174,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4962,1.9039E+12,4364,1043,0.482,0.789,0.317,19.789,1.726,21.764,2.301,2.109,0.671,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4977,1.9039E+12,3045,700,0.457,0.786,0.260,11.731,0.571,4.571,1.429,0.143,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4981,1.9039E+12,4777,1085,0.532,0.787,0.327,17.620,0.461,9.954,1.290,0.461,0.276,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,4996,1.9039E+12,4907,1168,0.321,0.717,0.214,4.041,1.455,2.312,0.599,0.599,0.171,Bajo
